File name: 1000-60-125
Result: 7069
Gen 1: 100099
Gen 2: 80097
Gen 3: 71086
Gen 4: 62081
Gen 5: 54080
Gen 6: 47080
Gen 7: 42076
Gen 8: 37076
Gen 9: 34074
Gen 10: 31074
Gen 11: 29074
Gen 12: 27074
Gen 13: 26074
Gen 14: 25074
Gen 15: 25073
Gen 16: 25073
Gen 17: 25073
Gen 18: 25073
Gen 19: 25073
Gen 20: 25073
Gen 21: 25073
Gen 22: 25073
Gen 23: 25073
Gen 24: 25073
Gen 25: 25073
Gen 26: 25073
Gen 27: 25073
Gen 28: 25073
Gen 29: 25073
Gen 30: 25073
Gen 31: 25073
Gen 32: 25073
Gen 33: 25073
Gen 34: 25073
Gen 35: 25073
Gen 36: 25073
Gen 37: 25073
Gen 38: 25073
Gen 39: 25073
Gen 40: 25073
Gen 41: 25073
Gen 42: 25073
Gen 43: 25073
Gen 44: 25073
Gen 45: 25073
Gen 46: 25073
Gen 47: 25073
Gen 48: 25073
Gen 49: 25073
Gen 50: 25073
Gen 51: 25073
Gen 52: 25073
Gen 53: 25073
Gen 54: 25073
Gen 55: 25073
Gen 56: 25073
Gen 57: 25073
Gen 58: 25073
Gen 59: 25073
Gen 60: 25073
Gen 61: 25073
Gen 62: 25073
Gen 63: 25073
Gen 64: 25073
Gen 65: 25073
Gen 66: 25073
Gen 67: 25073
Gen 68: 25073
Gen 69: 25073
Gen 70: 25073
Gen 71: 25073
Gen 72: 25073
Gen 73: 25073
Gen 74: 25073
Gen 75: 25073
Gen 76: 25073
Gen 77: 25073
Gen 78: 25073
Gen 79: 25073
Gen 80: 25073
Gen 81: 25073
Gen 82: 25073
Gen 83: 25073
Gen 84: 25073
Gen 85: 25073
Gen 86: 25073
Gen 87: 21074
Gen 88: 18072
Gen 89: 17071
Gen 90: 16071
Gen 91: 15071
Gen 92: 14071
Gen 93: 14071
Gen 94: 14071
Gen 95: 14071
Gen 96: 14071
Gen 97: 14071
Gen 98: 14071
Gen 99: 14071
Gen 100: 14071
Gen 101: 14071
Gen 102: 14071
Gen 103: 14071
Gen 104: 14071
Gen 105: 14071
Gen 106: 14071
Gen 107: 14071
Gen 108: 14071
Gen 109: 14071
Gen 110: 14071
Gen 111: 14071
Gen 112: 14071
Gen 113: 14071
Gen 114: 14071
Gen 115: 14071
Gen 116: 14071
Gen 117: 14071
Gen 118: 14071
Gen 119: 14071
Gen 120: 14071
Gen 121: 14071
Gen 122: 14071
Gen 123: 14071
Gen 124: 14071
Gen 125: 14071
Gen 126: 14071
Gen 127: 14071
Gen 128: 14071
Gen 129: 14071
Gen 130: 14071
Gen 131: 14071
Gen 132: 14071
Gen 133: 14071
Gen 134: 14071
Gen 135: 14071
Gen 136: 14071
Gen 137: 14071
Gen 138: 14071
Gen 139: 14071
Gen 140: 14071
Gen 141: 14071
Gen 142: 14071
Gen 143: 14071
Gen 144: 14071
Gen 145: 14071
Gen 146: 14071
Gen 147: 14071
Gen 148: 14071
Gen 149: 14071
Gen 150: 14071
Gen 151: 14071
Gen 152: 14071
Gen 153: 14071
Gen 154: 14071
Gen 155: 14071
Gen 156: 14071
Gen 157: 14071
Gen 158: 14071
Gen 159: 14071
Gen 160: 14071
Gen 161: 14071
Gen 162: 14071
Gen 163: 14071
Gen 164: 14071
Gen 165: 14071
Gen 166: 14071
Gen 167: 14071
Gen 168: 14071
Gen 169: 14071
Gen 170: 14071
Gen 171: 14071
Gen 172: 14071
Gen 173: 14071
Gen 174: 14071
Gen 175: 14071
Gen 176: 14071
Gen 177: 14071
Gen 178: 14071
Gen 179: 14071
Gen 180: 14071
Gen 181: 14071
Gen 182: 14071
Gen 183: 14071
Gen 184: 14071
Gen 185: 14071
Gen 186: 14071
Gen 187: 14071
Gen 188: 14071
Gen 189: 14071
Gen 190: 14071
Gen 191: 14071
Gen 192: 14071
Gen 193: 12069
Gen 194: 10069
Gen 195: 8069
Gen 196: 7069
Gen 197: 7069
Gen 198: 7069
Gen 199: 7069
Gen 200: 7069
Gen 201: 7069
Gen 202: 7069
Gen 203: 7069
Gen 204: 7069
Gen 205: 7069
Gen 206: 7069
Gen 207: 7069
Gen 208: 7069
Gen 209: 7069
Gen 210: 7069
Gen 211: 7069
Gen 212: 7069
Gen 213: 7069
Gen 214: 7069
Gen 215: 7069
Gen 216: 7069
Gen 217: 7069
Gen 218: 7069
Gen 219: 7069
Gen 220: 7069
Gen 221: 7069
Gen 222: 7069
Gen 223: 7069
Gen 224: 7069
Gen 225: 7069
Gen 226: 7069
Gen 227: 7069
Gen 228: 7069
Gen 229: 7069
Gen 230: 7069
Gen 231: 7069
Gen 232: 7069
Gen 233: 7069
Gen 234: 7069
Gen 235: 7069
Gen 236: 7069
Gen 237: 7069
Gen 238: 7069
Gen 239: 7069
Gen 240: 7069
Gen 241: 7069
Gen 242: 7069
Gen 243: 7069
Gen 244: 7069
Gen 245: 7069
Gen 246: 7069
Gen 247: 7069
Gen 248: 7069
Gen 249: 7069
Gen 250: 7069
Gen 251: 7069
Gen 252: 7069
Gen 253: 7069
Gen 254: 7069
Gen 255: 7069
Gen 256: 7069
Gen 257: 7069
Gen 258: 7069
Gen 259: 7069
Gen 260: 7069
Gen 261: 7069
Gen 262: 7069
Gen 263: 7069
Gen 264: 7069
Gen 265: 7069
Gen 266: 7069
Gen 267: 7069
Gen 268: 7069
Gen 269: 7069
Gen 270: 7069
Gen 271: 7069
Gen 272: 7069
Gen 273: 7069
Gen 274: 7069
Gen 275: 7069
Gen 276: 7069
Gen 277: 7069
Gen 278: 7069
Gen 279: 7069
Gen 280: 7069
Gen 281: 7069
Gen 282: 7069
Gen 283: 7069
Gen 284: 7069
Gen 285: 7069
Gen 286: 7069
Gen 287: 7069
Gen 288: 7069
Gen 289: 7069
Gen 290: 7069
Gen 291: 7069
Gen 292: 7069
Gen 293: 7069
Gen 294: 7069
Gen 295: 7069
Gen 296: 7069
Gen 297: 7069
Gen 298: 7069
Gen 299: 7069
Gen 300: 7069
Gen 301: 7069
Gen 302: 7069
Gen 303: 7069
Gen 304: 7069
Gen 305: 7069
Gen 306: 7069
Gen 307: 7069
Gen 308: 7069
Gen 309: 7069
Gen 310: 7069
Gen 311: 7069
Gen 312: 7069
Gen 313: 7069
Gen 314: 7069
Gen 315: 7069
Gen 316: 7069
Gen 317: 7069
Gen 318: 7069
Gen 319: 7069
Gen 320: 7069
Gen 321: 7069
Gen 322: 7069
Gen 323: 7069
Gen 324: 7069
Gen 325: 7069
Gen 326: 7069
Gen 327: 7069
Gen 328: 7069
Gen 329: 7069
Gen 330: 7069
Gen 331: 7069
Gen 332: 7069
Gen 333: 7069
Gen 334: 7069
Gen 335: 7069
Gen 336: 7069
Gen 337: 7069
Gen 338: 7069
Gen 339: 7069
Gen 340: 7069
Gen 341: 7069
Gen 342: 7069
Gen 343: 7069
Gen 344: 7069
Gen 345: 7069
Gen 346: 7069
Gen 347: 7069
Gen 348: 7069
Gen 349: 7069
Gen 350: 7069
Gen 351: 7069
Gen 352: 7069
Gen 353: 7069
Gen 354: 7069
Gen 355: 7069
Gen 356: 7069
Gen 357: 7069
Gen 358: 7069
Gen 359: 7069
Gen 360: 7069
Gen 361: 7069
Gen 362: 7069
Gen 363: 7069
Gen 364: 7069
Gen 365: 7069
Gen 366: 7069
Gen 367: 7069
Gen 368: 7069
Gen 369: 7069
Gen 370: 7069
Gen 371: 7069
Gen 372: 7069
Gen 373: 7069
Gen 374: 7069
Gen 375: 7069
Gen 376: 7069
Gen 377: 7069
Gen 378: 7069
Gen 379: 7069
Gen 380: 7069
Gen 381: 7069
Gen 382: 7069
Gen 383: 7069
Gen 384: 7069
Gen 385: 7069
Gen 386: 7069
Gen 387: 7069
Gen 388: 7069
Gen 389: 7069
Gen 390: 7069
Gen 391: 7069
Gen 392: 7069
Gen 393: 7069
Gen 394: 7069
Gen 395: 7069
Gen 396: 7069
Gen 397: 7069
Gen 398: 7069
Gen 399: 7069
Gen 400: 7069
Gen 401: 7069
Gen 402: 7069
Gen 403: 7069
Gen 404: 7069
Gen 405: 7069
Gen 406: 7069
Gen 407: 7069
Gen 408: 7069
Gen 409: 7069
Gen 410: 7069
Gen 411: 7069
Gen 412: 7069
Gen 413: 7069
Gen 414: 7069
Gen 415: 7069
Gen 416: 7069
Gen 417: 7069
Gen 418: 7069
Gen 419: 7069
Gen 420: 7069
Gen 421: 7069
Gen 422: 7069
Gen 423: 7069
Gen 424: 7069
Gen 425: 7069
Gen 426: 7069
Gen 427: 7069
Gen 428: 7069
Gen 429: 7069
Gen 430: 7069
Gen 431: 7069
Gen 432: 7069
Gen 433: 7069
Gen 434: 7069
Gen 435: 7069
Gen 436: 7069
Gen 437: 7069
Gen 438: 7069
Gen 439: 7069
Gen 440: 7069
Gen 441: 7069
Gen 442: 7069
Gen 443: 7069
Gen 444: 7069
Gen 445: 7069
Gen 446: 7069
Gen 447: 7069
Gen 448: 7069
Gen 449: 7069
Gen 450: 7069
Gen 451: 7069
Gen 452: 7069
Gen 453: 7069
Gen 454: 7069
Gen 455: 7069
Gen 456: 7069
Gen 457: 7069
Gen 458: 7069
Gen 459: 7069
Gen 460: 7069
Gen 461: 7069
Gen 462: 7069
Gen 463: 7069
Gen 464: 7069
Gen 465: 7069
Gen 466: 7069
Gen 467: 7069
Gen 468: 7069
Gen 469: 7069
Gen 470: 7069
Gen 471: 7069
Gen 472: 7069
Gen 473: 7069
Gen 474: 7069
Gen 475: 7069
Gen 476: 7069
Gen 477: 7069
Gen 478: 7069
Gen 479: 7069
Gen 480: 7069
Gen 481: 7069
Gen 482: 7069
Gen 483: 7069
Gen 484: 7069
Gen 485: 7069
Gen 486: 7069
Gen 487: 7069
Gen 488: 7069
Gen 489: 7069
Gen 490: 7069
Gen 491: 7069
Gen 492: 7069
Gen 493: 7069
Gen 494: 7069
Gen 495: 7069
Gen 496: 7069
Gen 497: 7069
Gen 498: 7069
Gen 499: 7069
Gen 500: 7069
